user_id,How has your drug use changed due to the pandemic?,Why has your drug use changed during the pandemic?
73f965d8-0a5e-476b-ac08-5b0c8394a578,I am using less,No access 
77a237c1-dd30-4932-9879-7f9d3bbfc3ae,I am using less,Not seeing friends
78f2e4c1-4f76-4b76-a6a5-a483b7465346,I am using less,Finances
7edea0ca-0250-4291-b81e-cacc1e783bd5,I am using less, 
8099668c-a4e5-42de-893e-49c02914f568,I am using less,Not going out or seeing as many people 
833465b0-bb8d-4fdf-ae40-1c64b482e8ba,I am using less,Lifestyle changes
846769df-1258-4f22-b8c4-0152c0697ccd,I am using less,No desire to use them
86e8be91-55cf-4d8d-a7e5-c91c4065f6d2,I am using less,Haven't been going to clubs
96716e85-1b09-4b59-8184-abcd7ed58de9,I am using less,No longer a student at university as only had the experience with friends. 
96c26cf5-e011-4a57-a5aa-bfca6839e593,I am using less,Less parties
974e8fd7-e470-4a0b-bd87-0e2b135d57d6,I am using less,"I would smoke cannabis with friends socially, but cannot while in Pandemic"
a06564e6-77ae-4687-8b37-10d13dd32cd6,I am using less,No longer socialising 
a1073465-ab2e-45a4-921c-3004aeaf3054,I am using less,less access and fewer opportunities to use drugs
aa9383cc-9c64-46ef-95ba-b9e087656abf,I am using less,Given up.taking drugs
ab0059e1-e025-4445-85b1-c76e4d06b729,I am using less,Not going out
b127e620-b15e-4fba-8acb-7688a0a5087d,I am using less,I haven't been going on nights out
b250248c-1d15-4a5e-9ad3-8399e355cd24,I am using less,Gave up alchohol shortly before covid which has impacted all drug use
b4356341-9ce7-43d1-babd-1bff30d319d6,I am using less,Less supply 
b5876c72-706d-4833-809a-a70060ddf40b,I am using less,Drug intake was significantly lower when pandemic commenced. 
b722ae86-6b50-4bda-8a97-a3286c4a9dd0,I am using less,Not seeing friends 
bdf1e98f-0ace-4c01-b4ba-1fd5b150c6f5,I am using less,?lovep
be91b77a-b771-48c5-b850-ee508f3f38d6,I am using less,Not interested
bf73a54d-7534-4dae-a17f-7c0928796eaa,I am using less,Less social pressure and a greater awareness of my health/ focussing on creating healthy habits 
bfaaca17-75b7-43eb-9179-dd356a1c9e23,I am using less,Slight paranoia 
c3d505fb-b766-4ea2-bbad-40fb93c76486,I am using less,Smoking more evenings a week rather than just on weekends 
c54870a4-f6db-4200-908d-e8f7989884a5,I am using less,Decided to give up 
cab7edbf-efe0-48da-b575-64e817ad56e2,I am using less,Not sure
cac5bcc5-6677-4b6e-a61d-567d6884ab09,I am using less,Difficult to obtain 
cad67c0e-1bdf-4727-bff0-212a171e0317,I am using less,Not socialising 
cd883f9a-69ec-427b-87e5-d1108b201337,I am using less,Not taken any for a good few years 
d416f845-3c24-4392-b67a-dd5a6fccdaee,I am using less,Not able to socialise due to restrictions
e39822d1-22ea-4046-9f46-eb34527dc56f,I am using less,Relocated to place with no access
e5da0cd5-c3cd-4426-9fdd-909ad67fdee5,I am using less,Only.use drugs in party and social situations so less opportunity 
e60b3cd7-0580-4b18-916e-a5834cf6d2d5,I am using less,"Social activity reduced, have only ever used as part of a group night out"
e640fb30-25a6-4d85-845e-4ce16292ff70,I am using less,It's harder to get hold of
e6f5786e-a729-4fe4-ae74-bde16a24ca2e,I am using less,Less reason to do it. Not gonna do on own
eb35cc08-44ca-45da-8374-9b56f4127e8d,I am using less,Limited access 
f2260556-eafb-4ed4-8759-6ef5cd504224,I am using less,Unsure
f22738bc-d0c5-4784-87cc-fdd9f185675f,I am using less,It was only very rarely on a night out and these have stopped. I have also quit smoking in the last month. 
f257a5a6-752b-4163-9bb0-012b42079720,I am using less,No need ge erally taken whilst at party at house
f3c6ee73-dd3f-4988-a962-d2d79741e79b,I am using less,Not socialising with others
f7871280-4d9c-4ad9-9072-899d548aa9dd,I am using less,Nowhere to go
f96e4f5d-53a0-4e4d-b54a-210535c94bdd,I am using less,Unavailable 
fb6dafb4-9fcd-4138-84fc-4ac48f4ce4e3,I am using less,I wanted to stop
fc18f433-7cfa-4ce0-95a4-c7472856a8ef,I am using less,I only took them in social occasions.
b21d362c-8f08-4af3-9e19-b3f6677c5e86,I am using less,boredom
ed6a8cd8-64b2-4860-a8cf-514b1da21a8e,I am using less,Not socialising as much
603a27b8-e6d7-4445-afc8-fe9caadb1c94,I am using less,lack of availability
0d007122-d1cb-45d4-bf26-9ada1788753e,I am using less,I dont take recreational drugs anymore unless I am given some but with little contact/interaction the opportunities do not arise.
ea614730-06a3-46f0-9578-5599f584daf8,I am using less,No access 
cfd8d022-5768-42ed-9382-fb5e7bed60a4,I am using less,No reason
e6a4035d-e60a-4f9b-97b1-bcef5748210e,I am using less,I am not consuming anymore
c8746b4d-4db4-4c71-bb80-a0c8f47fbed3,I am using less,Haven't used recreational drugs in years
2505df54-ee52-48ec-9ea2-dd12e083eea0,I am using less,"Only use drugs during social occasions, and there are less social occasions "
81cce11c-5593-4f61-8fa5-618b070afdfa,I am using less,I only took drugs when I was a lot younger
d2543543-2fba-4889-ab51-2df07e8deab3,I am using less,Less socialising
1473a8f6-91a4-48db-ade5-830515e010ac,I am using less,Not going out.
fae98d71-c5ba-4987-8f4b-8533cdc26a0a,I am using less,No supply
703866f5-b3d5-453f-b2e0-2a138b0bb850,I am using less,Not speaking to friends
77a9b546-890b-48a5-b0a7-2f63d7f3d521,I am using less,No social events. I only take drugs on rare occasions with groups of friends
a28e9a80-7551-4c3d-b6f7-dc47cbe0af87,I am using less,Only did it with friends occassionally
d627c7a7-dc0f-4afc-a99d-42aee344b901,I am using less,No real desire
24f70386-ad22-4f6d-82e1-6851fce5fab2,I am using less,"It's social for me, and very very rarely anyway"
d74a4b7f-af68-4e4d-a8bf-8ed04727b59c,I am using less,Iquit 
7ac35bf4-5dde-4b50-93e3-3847ae0bddee,I am using less,"Too much inactivity to warrant it, I would feel lazy if I partook, and I prefer to partake in party situations and haven't attended any "
52641908-0202-4bf4-a500-d6a5dd4b81da,I am using less,The only time I ever really took drugs was on nights out and as they are at a minimum now my drug use is almost zero 
1d10f500-ba7c-4f7e-bce5-58549c7dbfec,I am using less,Less socialisation
3989ba65-949c-4d5e-9599-8261d825afa9,I am using less,"I don't need to, and usually partake if its a friends who owns it. Far less meeting=even less chance i would use"
4e444a4d-ad4c-42f1-8efd-aa8c9e69ab1e,I am using less,Less gigs/festivals
89bdf6e5-5803-40bb-b3e1-c846a31d73ef,I am using less,I am clean 
3b70ec53-b1bb-4dff-821e-5f11259a8c81,I am using less,Coincidence
b5a38f69-5d7e-4917-920e-8276c55b9723,I am using less,I have given them up
7eb3e85b-d1d5-4b01-9a8a-8554b9874b15,I am using less,stopped using drugs many years ago
ba31abb9-92ee-43a6-9647-ab5d7cab535c,I am using less,"Not able to attend festivals, gigs etc"
949b7dab-97d8-4f40-ab16-815cba335027,I am using less,Less reason to use drugs - can't go out etc
c5fdd015-aeff-4ba0-809d-a9c334bb3699,I am using less,Clubs are closed. 
d73a25c6-e555-4a0d-8bf8-24baef73a172,I am using less,"I wasn't meeting anyone, so wasn't in that situaiton."
b1f286d2-d841-47e1-8a26-dabc208aa3d2,I am using less,Clubs are shut
1e84799d-53be-46bb-a5e5-469d2c49e264,I am using less,Don't take any at all
299298f9-36bf-4279-8419-5fcd7925930a,I am using less,-
0a65dea1-9a03-4cc1-9235-6457d714ef4d,I am using less,Less social interactions
70358c75-4164-43c5-9f19-163d1d3262ae,I am using less,Less opportunities to go out 
f759ff87-423b-4f3a-a9f1-0b6b5e67f05e,I am using less,I've moved house no idea how to get it 
0db692af08b744bda6f25b8e991a640f,I am using less,Clubs are closed. 
4b4bcb36-8e40-4507-bb22-6560ecc6ea1d,I am using less,Not going out
47b8147b-44ad-4a14-9dc0-cff830e96e80,I am using less,due to anxiety and lack of sleep
868c068b-bb41-4ba7-ba96-2ff7c6d99814,I am using less,No influence 
2b7c3550-8aa1-4828-9d15-e21970e0cf7f,I am using less,M
16d5325e-d1fd-4032-b0c4-431e18ed4745,I am using less,No reason
e56704d5-8fd4-4b5a-a1d3-4da74cba0205,I am using less,I haven't taken drugs in over a decade so no change
4942ec5f-e3e2-4333-9467-a71f52354262,I am using less,I use recreational drugs sporadically and haven't taken regularly for about 20. I did not take any drugs during the pandemic but  none  was not an option on this survey.
d0e09def-df0c-4e3b-a17a-3f949d45f7a8,I am using less,Not going out as often
2ad2b334-7a01-457a-a527-5bb7271bedda,I am using less,"In the year before the pandemic, I only took drugs once, for a social occasion. I’m not being sociable at the moment.  "
5e0f0c42-87b7-4a02-8b0b-fbd27b7f03e8,I am using less,Not thought about it
bfd00048-d45c-4767-989f-08edeca11101,I am using less,I dont
119dcd91-00c1-49b7-af70-c7ef075ad943,I am using less,Not felt the need
8897053a-b60d-47c6-a476-d1530f22e31d,I am using less,I don't like doing it anymore
236acbc8-346c-467f-b05a-99dbb16f6041,I am using less,less interested in using when at home
47ce68f1-4aa5-467e-84e0-2c5298e53b87,I am using less,No access plus bo where to take drugs with clubs closed  
cba282eb-5c3e-40de-b840-c73e42e2280f,I am using less,Well I wasn’t doing drugs before but I  had tried cannabis. Since then I haven’t tried it again or anything else 
36a7b86c-c296-47b3-9340-0888cb6009fd,I am using less,??
536d9e05-1be2-4975-95b4-5ecbd0faea04,I am using less,I am trying to live more healthily.
65a9c65d-9858-4776-a9e1-771f0f59ae3f,I am using less,Getting older
167b95b0-9ce4-46ad-8f0d-89cc61d57f5e,I am using less,Lack of availability.
b08b92e8-756a-4cb8-aaa5-5224f30e50c3,I am using less,Not taking any
a7756d7c-74e2-4f99-b0b9-d7fe1e753bd2,I am using less,Bored of it
21f6cce6-5c59-4fa3-bf8e-cc669cc38bb5,I am using less,I don't do drugs any more haven't for a few years 
79fe540c-36b7-4114-828c-36e2792f6497,I am using less,havbet had access
086e7600-62ac-4947-9ef2-e2f2f13b04ea,I am using less,Been over 30 years since smoking puff. At the moment taking piriton and ibuprofen for itchy skin
25cfbac2-fe72-4d86-aa75-50a05121cce8,I am using less,Social events are not happening and there are no parties with friends
369c4001-5195-4faf-b548-e803a8625133,I am using less,Stopped using cannabis years ago.
ad0ab214-c509-4346-8bd4-245d7a918c91,I am using less,I have not taken any drugs for 10+ years
dc8a5212-c0d2-4119-90b0-cf0b88e4348e,I am using less,can't be bothered with it...
ce9b9f91-77f6-49a3-9999-0cb49b9d2c97,I am using less,Although I only take recreational drugs very occasionally. These occasions now never occur due to no social activities being allowed. I would not take them on my own.
d83b67e4-d334-4ba4-9a85-0865248c212f,I am using less,I used to smoke cannabis maybe once to twice a year with friends at a party or gathering during the summer. That has not happened this year 
e8c5a735-4e67-4931-bb27-d1545a8ec430,I am using less,I haven’t taken any. There is no option to say you haven’t taken drugs during the pandemic.
33ae729a-8b69-4b50-ad99-e6fe61fcdf78,I am using less,because I wanted it to.
27b3d905-9754-4da8-b029-00849c81bfb9,I am using less,"My drug use is social, smoking cannabis. I haven't met the people I usually smoke with since March."
ca7a90bd-3b7a-40de-8349-fa2a8d24c8f2,I am using less,My drug use was more than 20 years ago
3e5bc077-8f63-42a3-938f-a04f7433c0bf,I am using less,"Haven't done drugs for a few years now, was mainly in my 20s "
bb9f5c1e-3659-4362-9363-bba5ed01a953,I am using less,"Not out with friends who take it, and don't feel the need for it."
d34441ad-851f-4306-ad4f-4be936393d7b,I am using less,No 
61d32f7b-7859-4746-81d4-ac5820e907ca,I am using less,"my use of drugs was40 years ago, nothing since"
3e76607c-f49c-461a-bb19-fb3599ae5a00,I am using less,No nightclubs open
712b3e1f-a69b-4f80-a745-acff3c90992b,I am using less,I haven't smoked any cannabis for 15 years or taken any Extacy for 20 years.
54750b9c-c444-485b-9bf4-6b3f4975a261,I am using less,In fact I have not taken cannabis for years but was unable to answer no to the question 
2e3e453b-c599-4fe4-8bfd-696256dc1536,I am using less,It was only ever a very occassional social activity
85243482-6db0-4e2d-9d33-e3bc05de9c98,I am using less,I don’t take them
9bfd0aab-3401-4f01-a9f8-b3a01b69854b,I am using less,"It has been effected my life and make me more sad, stress, anxiety and its effected me mentally , emotionally and physiological. "
e34aa53a343b49b386a28765a85afb66,I am using less,Trying to control it better
15f85843-e34f-4cdb-bf2e-e61d2f28ca5e,I am using less,It changed prior to it but the questions don’t account for that
5a141d42-4af9-4a4d-ab4a-df94c06aaff3,I am using less,No need
e58fb40d-5c2e-4e0d-8c38-dd0d32cdd7e1,I am using less,Less access
908100ac-ffa4-494e-913b-d3bfed7f7166,I am using less,Drug use for me is mostly a social activity. Less socialising means less opportunities for drug use.
78795d69-6526-48ff-a95a-09752a8c813a,I am using less,don't bother any more
922ed069-1844-4b7d-b231-bf8ead4bc384,I am using less,"no use, other than alcohol, for several years."
387edabc-2306-410d-b6bd-c4241cf836b9,I am using less,I stopped using drugs when I had my son 2019.  during lockdown I smoked 1 joint out of curiosity and opportunity as I had no plans and nothing better to do. I won't be doing it again.
0f36a79d-d9a8-4bdf-a7a2-804c80c531ec,I am using less,Don’t need any as no pressure as don’t go out and couldn’t get any anyway so all good and have had none for more than 4 years
dafae1b1-64ec-4d98-b175-aea2f17d7bdd,I am using less,I use it socially and there has been less opportunities for such use
1ed1732c-4d39-42a6-99b7-47edfb0d9698,I am using less,stopped taking drugs last year
3bcb29ef-991c-4efb-ad1d-ecc1d1c12570,I am using less,Less social occasions to do so
ce9dab75-d4d7-4d41-ac40-9a2e1e4146da,I am using less,didn't take any
0ce8a0aa-f2a3-41c2-a9bd-dfbf5b491251,I am using less,alone
c166a717-080b-4e7c-9a2b-3807d219ebea,I am using less,.
cb599ec0-d6ee-41b8-8e9b-cd9983e25d14,I am using less,?
8a990976-5a7a-448c-89f5-420e29ef14e0,I am using less,Realised with negative outside influence that I'm better without
e6050bda-88dc-4c56-8965-c19b53467d3a,I am using less,less accessibility 
d05e0df3-e0b1-418a-9b0c-fe74917558b0,I am using less,I experimented
763e0cee-7d0f-4bb7-b5b8-d7fa39682c42,I am using less,"didnt want to risk getting COVID to get drugs, no going on nights out so less opportunities to do so. "
9c172066-665e-4888-8c31-11651a823054,I am using less,I don't want/need any controlled drugs as it wouldn't be good for my sanity.  So I haven't even had a smoke for about 5yrs.  And I don't like being not in control.
5456cb48-c87c-423d-971e-f7a48e3b9f80,I am using less,I partake less because I am not influenced by my peers.
89392341-b33c-46b8-b847-011d3e8425fa,I am using less,stopped for health 
2095684f-ff91-40c1-b001-0e69ea051be4,I am using less,Can't buy it
c35b6c82-569b-417f-aa80-49c1b9660f60,I am using less,I haven’t taken any
aa038acb-4388-4a37-8940-c0961db3c9b1,I am using less,Dont take them anymore
ad4b730f-4277-4303-9ab8-5e3dd1fe0264,I am using less,"It hasn't changed, i have not taken drugs for 2 years"
2174a071-1d38-464a-8976-d89ec56e3518,I am using less,Access to it and lack of events to do it for 
db9ef5e4-fb98-4aec-a9f6-e87c484151ca,I am using less,"Live alone, no point while in the house doing nothing. Would be a waste of time and money"
92fe8ed5-78d9-40cb-b066-25ef8ef00ea9,I am using less,no interest
2fabe3a6-9cc8-4ae7-bf57-f24f84264858,I am using less,Don’t feel like taking anything as I only shared something if I was socialising 
5b8b1d25-985e-414d-8a38-f28a3c99e6d9,I am using less,less socialising 
e5d43238-435b-4b2b-a902-7cba882ead1d,I am using less,I have had no drugs during the pandemic or since I was a teenager
9f729a71-e6a5-4033-8a17-53755962a0f6,I am using less,I only use them socially on rare occasions 
d5a32bf0-910d-40db-996a-704755f9051b,I am using less,Don’t use drugs
78fdf01e-550f-4961-8971-2dd77f8372e5,I am using less,Can't get any
b259d79a-253f-4372-b5de-a97aa21da8d1,I am using less,Not socialising No access
54d4b49d-e910-44e5-ba23-8789f8ccc38b,I am using less,I haven't taken any
e83c1021-e14e-48a1-8edb-439a6c14d460,I am using less,"There are less opportunities in which to use drugs. I often like to take recreational drugs with my girlfriend at parties, and there have been no parties to go to. I also stopped smoking weed due to the cognitive demands of my degree."
2fdc804e-3c35-4fa7-9c1f-8b891605f70b,I am using less,Availability 
66bb3a1f-b2f0-4ab7-9ce5-79740e43d89d,I am using less,Not taking now
c6da2b56-56c8-435d-aae4-240d6a3f17f5,I am using less,Less partying!
92bca547-d1f1-415a-827a-03e5ceb11f4a,I am using less,Not being with other people to take part in it.
e3074f75-4306-4be7-a3c6-2c5140e1a092,I am using less,"I used to do it very occasionally when out with a group of friend, mostly on weekend trips. Those have not happened."
ae003752-17b1-4e5c-8ab3-c33935f0b001,I am using less,I stopped socialising 
4f6112ea-0d59-46cb-8619-90679edb5110,I am using less,"I only took drugs socially, not been socialising much"
587a7eb9-26c8-4d4b-9290-0b885d6f2fa0,I am using less,Tried it for pain before the pandemic but it didn't make any difference so don't use drugs anymore.
9aaa0264-e52f-42c6-952e-f6309bab20f6,I am using less,i havent taken anything for years
1c0601fd-7245-4dce-9557-0cdc190715c2,I am using less,only done with a certain group of friends which I have had no meetings with this year
c57f87c4-1efb-40ca-912c-2e08fac48cc9,I am using less,i stopped using drugs about 2.5 years ago
c29215bd5b324846a8d0c950a30db5e4,I am using less,No reason
7c34cb38-4486-4264-919b-dda6764262e8,I am using less,no real logical reason
0884e921-1b11-4c04-82f7-096efa294f6b,I am using less,"used for social or recreational, lack of parties meant no desire to do any"
5e890e41-fe6d-4c14-9c99-579910280245,I am using less, 
29cb4a26-01bf-4bf6-b8f1-b3d570f00575,I am using less,Drug use many years ago.
0ee2b9be-7616-4959-9c4e-9bc55ce0c6b3,I am using less,To keep myself from going insane  
e070a9ae-9927-4104-adbf-9190b6c51044,I am using less,Lockdown 1 presented me with lots of furlough downtime. I had the opportunity to buy cannabis which was light in THC so I did but not something I made a habit of
4b217d28-a410-424e-bf30-c67c66239ad7,I am using less,"Less situations where I want to use drugs, not socialising or going to parties, harder to get drugs because not seeing people"
f133cef8-a1a6-4dd4-98f7-22948be206df,I am using less,Not wanted to mix with others 
2a17cfd2-adff-410b-93be-8377695aa0fb,I am using less,Less
0abacabf-6a71-4179-986c-a1de9a19517d,I am using less,No access 
1bbe7d08-284d-4344-985a-75f11a2ea53f,I am using less,I rarely had anything before. 
042089f0-fc5f-4ddf-a183-81e5684aeec9,I am using less,I have not smoked Cannabis Since my late teens early 20's
b3f49625-5f01-4d2f-80d6-e130812f0994,I am using less,"Access to cannabis had become harder in any case, and dried up completely after lockdown."
d5d5fae7-1b48-43f4-804f-d573e9664dcf,I am using less,"I had initially used cannabis more during the first quarter of the pandemic, but it slowed to nearly consuming none at all. I suppose it is due to the anxiety that the cannabis would perpetrate. "
f9f410b8-dae6-4ec7-b0a5-4ab29d69b50c,I am using less,More an occassional social thing a few times a year but always wary of becoming addicted or it leading to other drugs.  
f1763f6c-0d59-47e5-8374-9a933bfe696e,I am using less,"Your system is flawed.  I have taken no recreational drug for years and none during the pandemic.  I wanted to be as honest as possible and, for example, there was not an option of 'none' for the question how often have you taken drugs during the pandemic.  I have not taken cannabis for many years but I am unable to show this in the list of possible answers that I can give."
ede964a1-0cdb-492a-842a-c503e807984e,I am using less,not available
2ede72e4-b89c-45f5-853e-f9348bfd419f,I am using less,Don’t know 
a489c229-2cb2-4d40-940b-050a465bee6c,I am using less,Often take drugs in social settings - at someone's house or at a club
1243fe87-929b-491d-87e6-e4479fdc678b,I am using less,I was furloughed for a long time an d didn't want to regress back in lazy stoner like I was in the first year of uni! Wanted to keep fit and in a healthy routine instead.
16950e73-a6cb-4916-8f70-be5ffa44e319,I am using less,i stopped ages ago 
3b179f62-e099-466f-a96d-18b0e7c65113,I am using less,I havent taken drugs for over 2-3 years 
c89886ed-ff52-4d73-9bf7-5935abf4c6ad,I am using less,couldn't get any
899f3c14-b7d0-4d46-b987-e0000730a7db,I am using less,Less occasions where social drug use have happened. Drug used as a recreational level not a personal need
55b0516a-f658-4361-b4ae-48f36a4778b3,I am using less,Not mixing with those people that may have it
c6bbc1c6-25bd-4529-8a60-7aa65ddf023b,I am using less,Very rarely take drugs
9ba34bf6-e3b8-4e09-99c3-ee199b8b2b87,I am using less,It became too bad with my anxiety so I’ve cut it out completely 
5361bff7-1aea-4712-9420-665fcd67709b,I am using less,no festivals which is the only time I would use them.
333b3d5c-e17e-4b00-ae73-7aef36f6a36a,I am using less,This quiz is bugged. I haven't taken any drugs during the pandemic but the quiz wouldn't allow me to proceed without picking at least one
b493888b-1cda-44ac-9458-71b289f6e2a7,I am using less,My drug use was in my 20's & 30's am 60 now!
42c79bcb-e57e-4232-abbe-be21bb57671d,I am using less,No interest in it
507821b3-270e-4bb0-adcb-28a1cb83f642,I am using less,Not as many social occasions.
aa837f4e-0faa-4c18-a992-36fa42323e3d,I am using less,"I care a lot more about my health which has changed during the pandemic and I have chosen to quit taking drugs. Staying in more has also altered my 'work hard, party hard' mentality. I now work hard and try to switch off more."
36a6caed-2d0d-4bb9-bb8c-1dbc3eebf10c,I am using less,Not socialising or going out - would not take drugs alone
d93d23c7-9dae-407e-8361-0750f1593502,I am using less,"Was cutting down anyway, reduced to personal home grown very low THC Ruderalis based with high Cbn23 (blood sugar reg), all part of health conscious move as I age."
724456a3-f9cb-4f1c-b39f-9aecb4f03111,I am using less,Lack of access No fomo No reason to go out
e684f64f-4454-4522-8383-0a774941c8bb,I am using less,less socialising
4dd0ce17-f217-4274-83aa-0801ba428b46,I am using less,Na
6898b239-de70-4b4b-89ab-e4bc101acd04,I am using less,Not going to nightclubs
3b92d60c-e2c0-4237-9850-07d7b471056f,I am using less,i use less often. less party drugs
bcdcc370-92b5-4fef-9b7b-2cf8076736f0,I am using less,I've grown-up!
5bcf5803-4376-4d87-999b-f1c952e70499,I am using less,.
84297760-8f51-44b6-ae1a-4afa67177d43,I am using less,"Non-pandemic related, I just don't feel a need to have weed anymore"
39418953-c9d5-4f86-9e43-367295a7d5b6,I am using less,only used the. at music festivals
f4589ad2-6cd0-436d-899e-10119ee37f20,I am using less,Availability
ad4a32cc-e5b0-4fb5-8b68-37ed1ae1f94f,I am using less,"Don't meet up with people, and I don't like to take them alone or in presence of my wife."
0784684d-71c9-4484-a907-45bfc4406ac9,I am using less,I'm not interested in using drugs anymore
60178b48-a7e9-42d0-860a-8509be95501e,I am using less,Availability
c514f939-a8c4-4de5-b75e-6af1cdd60d07,I am using less,Good chance to stop
8e874218-557f-4119-a958-4b2f2a462e55,I am using less,Social user and no longer meeting friends 
283ff10c-3512-4dde-b011-e0d81c6c0d41,I am using less,I just ended up not liking the feeling of it so this has no link with lockdown.
259367c4-c913-48ac-b2e9-480376af7ead,I am using less,less social activity
cbe82ef1-bb29-4fcf-8bc4-21ec3a929a27,I am using less,Didn't want smoke to affect my lungs.
31eeceae-90c2-4c90-9532-633f76222a27,I am using less,Don’t go out or to parties
34725908-d7db-40e6-a63b-2cd658493286,I am using less,Haven’t taken anything for over 15 years
85f7f0c8-2dc0-4ae1-9d2f-58f2f8f7696e,I am using less,Less partying 
6efe043a-cb24-453b-bbe1-3393c3df30bb,I am using less,Student at uni. Experimenting
6ffba583-0cd3-4255-aef3-e20a75d153c3,I am using less,Cuz my friends who were into weed aren't around
d6b248eb-77eb-4d9f-a6a2-ba84e2abb6e8,I am using less,There haven't been any music festivals or many parties.
7a175a59-feac-4152-9148-e70b15aa50c5,I am using less,No longer interested. Healthier lifestyle
8a50bac7-fe02-427b-b385-9b6923409657,I am using less,I have my children at home
0dc08323-838c-4fa2-a9e3-14f74305437a,I am using less,Not going out
a7cfda64-c4fb-4578-8319-605d1d318841,I am using less,"I found that smoking weed was not good for my anxiety, mood and my motivation."
d433f5cd-f6bf-449f-8b77-f6fbce763a01,I am using less,Use poppers and my sex drive has been a bit less
59b45cea-7498-4983-8951-d005cee53cf8,I am using less,"Havent been going out to nightclubs, was more a social drug user, if friends arent I'm not going out of my way"
474e7bb7-18f0-475f-ac45-311bf3e9c1c4,I am using less,it is well in my past.
462be20e-aefa-43d0-9ea6-48cddd25d317,I am using less,too easy to take more- no consequences. So best to avoid.
6556c2bf-0dbd-4f7c-a4b2-27c58f933954,I am using less,less availability
bec7a35a-fc3a-4c08-b31f-d43d2004b54d,I am using less,"I am only a very, very occasional cannabis user in any case and have not bothered during the pandemic."
af4cab11-11ae-4b7a-aaa3-a502090b3813,I am using less,Because I have not been here on my own
d9cb8ee5-eae0-4679-8a8a-03ad0875fec2,I am using less,Not socialising/seeing friends.
45e7ec3d-a906-47d2-bef8-26f645e1b435,I am using less,Not seeing friends 
2957dd19-9b41-411e-97ea-a02f38e9acc2,I am using less,Fewer nights out
3a4d9644-6b1f-4699-8659-eb7bcdc057ec,I am using less,No social gatherings
8d5f7770-d4c1-42cb-823f-6b184bbe212d,I am using less,"I would normally do drugs with my friends. However, now I'm not allowed to see my friends, I don't do drugs. "
8722fbb5-5cdd-4897-b122-b99e31291661,I am using less,I gave up before the pandemic started
a6a40411-d5a8-421d-84fc-08e2fdb5c0e3,I am using less,Less socialising 
b370ba79-b94e-446c-9a6c-92d7d37120b2,I am using less,Left my job in recruitment. It was a bad environment.
da06cab9-16a1-479d-a5bb-10a81e449bd3,I am using less,Mixing with fewer people - fewer party opportunities
27704069-9d6f-4d27-b5db-74ab088591d4,I am using less,"don't want, or need"
