SummaryScore_SpatialSpan,RT_SpatialSpan,user_id,SummaryScore_targetDetection,RT_targetDetection,SummaryScore_VerbalAnalogies,RT_VerbalAnalogies,Residence,Language binary,Ethnicity,Sex,Education,Handedness,Occupation,Salary,timepoint_by_date,Age,Imputation,Device Summary,Normative,Age squared,Age decade
5.0,3827.0,c7f00af726d74b4288f42d762263a2d0,58.0,2008.0,5,4134.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£40-50K,tp1,50.0,0,Android phone,0,2500.0,40
6.0,3863.5,d6633c82b6ff48d6b3ecdbe86cd15229,70.0,1176.0,5,4726.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,41.0,0,Android phone,0,1681.0,40
5.0,3710.0,7801e7d1e76e409cb1e5bcec9043da6e,57.0,1809.5,12,4428.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,50.0,0,Android phone,0,2500.0,40
7.0,2844.0,b42310b4-3e8b-46cc-a364-c221886ab0ff,53.0,1534.0,37,2535.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£40-50K,tp1,45.0,0,Apple phone,0,2025.0,40
6.0,3578.5,710f8d98-4594-47c9-9b41-a5b2c21465e6,65.0,1369.0,20,2616.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£30-40K,tp1,47.0,0,Android phone,0,2209.0,40
5.0,3256.0,4b5a80db86714c4e929eb01e8bcce01c,60.0,2021.0,3,3838.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,48.0,0,Apple phone,0,2304.0,40
6.0,3310.5,48e013eb1830488880949cacb587378f,45.0,2387.0,18,4396.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£30-40K,tp1,50.0,0,Android phone,0,2500.0,40
6.0,5641.5,37279b19920644cc9c3e0c9e94dfc3b8,70.0,1156.5,5,4862.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,41.0,0,Android phone,0,1681.0,40
5.0,3702.0,9a99f8e5d9814465b65f157eb6288054,45.0,1804.5,-4,2748.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,43.0,0,Windows Computer,0,1849.0,40
7.0,7406.0,7dd5182f3f92432eb0b88e8da17d58bf,51.0,2198.0,12,6507.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,45.0,0,Android phone,0,2025.0,40
6.0,3240.5,67e3e85cb7b04459a941f6a199eb322c,69.0,765.5,19,3505.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,46.0,0,Apple phone,0,2116.0,40
5.0,5001.0,6fde2d0e-9e7a-4f08-9a98-f630c739aaa6,37.0,2025.0,-9,2883.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,49.0,0,Android phone,0,2401.0,40
6.0,4263.0,ff35ae15a4b94d24a676733245e91245,52.0,1438.5,18,5275.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£30-40K,tp1,48.0,0,Apple phone,0,2304.0,40
6.0,3773.0,caf67b89dfb84b708ee1ea477bd28f9e,60.0,1385.0,14,4748.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,44.0,0,Apple phone,0,1936.0,40
7.0,3653.5,21f7ea0f7d8443ad8eb7ada7040516f3,69.0,1640.0,0,3372.0,United States,Other,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,44.0,0,Android phone,0,1936.0,40
7.0,5278.0,68400e1b-b7db-46f9-85a4-10ad5c4b2471,55.0,2145.0,6,7345.0,Mexico,Other,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,46.0,0,Windows Computer,0,2116.0,40
4.0,4579.0,d12d838e60fb469a8bf390cfb68f39e5,67.0,1237.0,19,2496.5,United Kingdom,English,American Hispanic,Female,00_preGCSE,Left handed,Worker,£10-20K,tp1,60.0,0,Android phone,0,3600.0,50
5.0,4383.0,67e81e2f051440118b27a165c7bff3a5,55.0,2126.0,25,2651.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,59.0,0,Android phone,0,3481.0,50
7.0,3604.0,086275541afe4d5c96c772f4c813d225,72.0,1060.0,7,2911.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£30-40K,tp1,57.0,0,Apple phone,0,3249.0,50
3.0,3868.0,8a1dbbba17294c8e9d3127f356b9edde,51.0,1561.0,20,4278.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,56.0,0,Apple phone,0,3136.0,50
6.0,2548.0,fba8fb15aa994960a47c08764e53ecd1,42.0,2121.0,10,2751.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,58.0,0,Apple tablet,0,3364.0,50
5.0,1902.0,7a3f24b755394ec9a3bff0c67c806d76,63.0,1242.5,13,2574.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£20-30K,tp1,59.0,0,Android tablet,0,3481.0,50
7.0,3650.0,fb6fc17c7c3a496caebaed9e5a8822c8,44.0,1783.0,8,3385.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£10-20K,tp1,51.0,0,Apple phone,0,2601.0,50
5.0,4733.0,b7d58bcf-39d4-4fea-9915-fd6aa1cd3f35,60.0,1430.0,18,3330.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,55.0,0,Android phone,0,3025.0,50
5.0,2700.0,f58f9052beb04676bd2a723b6ce490a9,65.0,1640.0,7,4760.5,United Kingdom,Other,American Hispanic,Female,00_preGCSE,Right handed,Worker,£0-10K,tp1,52.0,0,Android tablet,0,2704.0,50
3.0,2028.0,a7f355d9a2e8400e8357b1d115aaf837,34.0,2180.5,14,4032.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Left handed,Worker,£0-10K,tp1,64.0,0,Apple tablet,0,4096.0,60
4.0,2911.0,323e41e88fe14b539a59dc5cfc2a5f4f,47.0,1286.0,16,6570.0,United Kingdom,English,American Hispanic,Female,00_preGCSE,Right handed,Worker,£50-60K,tp1,70.0,0,Apple phone,0,4900.0,60
6.0,3393.5,d0fb0fb3-ca77-40e9-99e1-008063ba8a67,72.0,999.0,19,3015.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£10-20K,tp1,20.0,0,Android phone,0,400.0,10
5.0,2103.5,6b66b39b92004996941e43372ee14f3a,45.0,1489.5,16,2540.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£10-20K,tp1,18.0,0,Apple phone,0,324.0,10
5.0,2298.0,c0a7448e34d44456bb07a2fa23e9a128,44.0,1532.0,9,2981.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,20.0,0,Android phone,0,400.0,10
6.0,2983.0,f48476b7a3a946239ee2ef6022086e44,51.0,1268.0,30,3460.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,20.0,0,Apple phone,0,400.0,10
6.0,2180.5,fcb07908403943cc9a2463606f9348c6,66.0,931.0,33,1978.5,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,18.0,0,Apple phone,0,324.0,10
5.0,4197.0,2223d78d-69fd-461a-8d41-cfefa69758a9,41.0,1613.0,4,2349.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,17.0,0,Apple phone,0,289.0,10
7.0,2124.5,3e852cbc-d26f-4543-bd72-9e37c71faa4b,72.0,824.0,18,1400.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,19.0,0,Apple phone,0,361.0,10
6.0,2903.0,d46e08a7911b49e8b0c074b73f638142,51.0,1794.0,18,2918.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,20.0,0,Apple phone,0,400.0,10
6.0,2755.0,7fe82ecf6f0c484492c630cb8273cb2d,72.0,921.0,22,2477.0,Singapore,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,19.0,0,Apple phone,0,361.0,10
6.0,3331.0,151680ab62ba440ead863bc660225753,70.0,1090.0,25,3256.0,United States,Other,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,19.0,0,Android phone,0,361.0,10
6.0,2838.0,892a9742eaa948de95e199f140153d37,65.0,1425.0,16,3046.0,United Kingdom,English,American Hispanic,Female,01_School,Ambidextrous,Worker,£20-30K,tp1,30.0,0,Android phone,0,900.0,20
8.0,6161.0,77ea16f7-9564-446a-9166-4ae7767244e0,71.0,1128.0,35,2472.0,United Kingdom,English,American Hispanic,Female,01_School,Ambidextrous,Worker,£20-30K,tp1,30.0,0,Android phone,0,900.0,20
7.0,2925.0,da07502240744e4eaaecbb8d0e6847eb,57.0,1980.0,35,2987.0,United Kingdom,English,American Hispanic,Female,01_School,Ambidextrous,Worker,£0-10K,tp1,30.0,0,Apple phone,0,900.0,20
7.0,3667.0,db7a032aed3447e2b2140e3796d8621b,71.0,1305.5,7,1500.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£40-50K,tp1,30.0,0,Android phone,0,900.0,20
6.0,3284.0,a23af95b-291d-466d-ad99-67d556f06fd3,51.0,1697.0,37,2722.5,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£40-50K,tp1,28.0,0,Apple phone,0,784.0,20
6.0,3717.5,0c2093bef695435ea38bfb076bb66495,52.0,2375.0,26,4638.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£0-10K,tp1,25.0,0,Android phone,0,625.0,20
5.0,5200.0,5cf14784-647b-41b9-a543-700b5f420450,71.0,845.0,12,4384.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£30-40K,tp1,24.0,0,Android phone,0,576.0,20
6.0,2564.0,d68f98f4d1c94792bd833f54b233e47f,46.0,1368.0,2,3925.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£0-10K,tp1,23.0,0,Apple phone,0,529.0,20
8.0,2885.0,abdd82389dba4600b4a2ec71adad53c6,70.0,1194.0,33,2347.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£20-30K,tp1,30.0,0,Android phone,0,900.0,20
6.0,3399.0,a45c6558dbba454eae45609b6a417aaf,63.0,1627.0,28,3332.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£30-40K,tp1,28.0,0,Android phone,0,784.0,20
6.0,2741.0,c3ddfdba3f084c6b9ae87603187681ef,70.0,1189.5,12,5212.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£90-100K,tp1,28.0,0,Android phone,0,784.0,20
6.0,5758.0,56193a7a9c5043a3af9593d604498747,58.0,2156.5,39,2570.5,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£60-70K,tp1,30.0,0,Android phone,0,900.0,20
6.0,2657.0,0673e369e67343f081912c6057cb53fa,70.0,1030.0,15,3147.5,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£20-30K,tp1,28.0,0,Android phone,0,784.0,20
8.0,4667.0,e357a4bb-8444-44eb-95bf-b1507e1aea9e,59.0,1629.5,30,2638.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£0-10K,tp1,23.0,0,Android phone,0,529.0,20
6.0,2622.0,d192bbd6-369f-49fc-9d45-2d11c642456e,41.0,1765.5,11,3382.5,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£20-30K,tp1,29.0,0,Apple phone,0,841.0,20
4.0,2302.5,32a2c50a47d041269ca10fcb2b595d00,43.0,1866.5,21,2241.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,28.0,0,Apple phone,0,784.0,20
5.0,3727.0,fcfa4be6a066425380d8a966773b2a5e,66.0,1011.5,31,3291.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£50-60K,tp1,27.0,0,Apple phone,0,729.0,20
5.0,7218.0,8c78b6829202428c8b9bd8f7e3226a7a,39.0,2079.0,23,3346.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,30.0,0,Android phone,0,900.0,20
6.0,2125.0,548db9e9-9c26-49ad-a664-29ab3bfeb073,54.0,1520.0,25,4112.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,26.0,0,Apple phone,0,676.0,20
6.0,3908.0,6ff2a0cd7d5041f0bb29e370d8a3425e,71.0,898.5,19,3763.5,Singapore,English,American Hispanic,Female,01_School,Right handed,Worker,£40-50K,tp1,30.0,0,Apple phone,0,900.0,20
6.0,2877.0,9587a19e-9bdb-4d74-a97a-faf74a4858c7,69.0,1082.0,34,2452.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,27.0,0,Apple phone,0,729.0,20
7.0,3088.0,226babfa-576c-4d59-a8d7-6151669ac832,72.0,1053.0,10,2269.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,26.0,0,Android phone,0,676.0,20
5.0,2713.0,a0fc4eee3c434bb5894017de9ab409ce,71.0,995.0,0,2221.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,30.0,0,Apple phone,0,900.0,20
7.0,3067.0,eeffddeb3f2b453bb104f2c8710fa63e,44.0,2146.5,30,2587.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,27.0,0,Android phone,0,729.0,20
5.0,3462.0,f64afbcf04744d8c9a225f0c6a798b8e,67.0,1285.5,26,2119.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£30-40K,tp1,29.0,0,Android phone,0,841.0,20
6.0,3369.0,16c1114da7594402bc61176310459b2a,72.0,825.0,38,2467.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£30-40K,tp1,30.0,0,Android phone,0,900.0,20
7.0,2032.0,3ce371d2-14ed-41bf-ac97-a791df387b2f,67.0,1271.0,34,2518.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,30.0,0,Android phone,0,900.0,20
6.0,2448.0,75d0ed6ac566474095d26812b2c525a4,44.0,2065.0,5,4053.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,25.0,0,Android phone,0,625.0,20
6.0,3652.0,7de4a3ae308a4bb2a46b2c8f999c82b3,67.0,1338.5,36,3104.0,New Zealand,English,American Hispanic,Female,01_School,Right handed,Worker,£30-40K,tp1,27.0,0,Android phone,0,729.0,20
7.0,2215.0,f55f98b9-fa29-4596-9781-11ddcd682702,67.0,1200.0,14,3359.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,28.0,0,Apple phone,0,784.0,20
9.0,3492.0,4051d6a3fa9145878df165f99a4e9d25,48.0,1627.0,33,2336.5,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£30-40K,tp1,25.0,0,Android phone,0,625.0,20
6.0,2283.0,e775255f0c714037a4b1f739af6598de,68.0,1220.0,17,4545.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,29.0,0,Apple phone,0,841.0,20
6.0,3031.0,9f263b34-4410-412d-9fb7-eb21a6c0715c,53.0,1645.5,26,3793.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,24.0,0,Android phone,0,576.0,20
5.0,3368.0,5dab25e01e014385b81219b67df22a40,48.0,1708.0,8,4179.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£40-50K,tp1,26.0,0,Android phone,0,676.0,20
6.0,3694.0,d80696397d3e41f69a1134b1a74258f5,31.0,1631.0,9,5149.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,24.0,0,Apple phone,0,576.0,20
6.0,3323.0,e7c95fef-5f26-4721-bb32-9edc750ad4a3,57.0,1700.5,34,3395.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,25.0,0,Android phone,0,625.0,20
6.0,3957.0,ebbd88c5-b6b5-4098-90ab-bc199410eb9e,61.0,1827.0,9,3645.0,United States,English,American Hispanic,Female,01_School,Right handed,Worker,£50-60K,tp1,28.0,0,Android phone,0,784.0,20
6.0,2505.0,9ca64983b608442a8b8b22c6e485de41,67.0,1516.0,28,3023.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,29.0,0,Android phone,0,841.0,20
6.0,2976.5,127212979b2b406d91d69e9ef2736448,69.0,808.0,-13,203.5,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,29.0,0,Android phone,0,841.0,20
5.0,2255.5,3edc2aae1c9742efa05b811543e47e8f,62.0,1554.0,2,1013.0,Egypt,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,21.0,0,Android phone,0,441.0,20
6.0,2586.0,d8932d78f3ac4b6a8aba625d72226224,59.0,2123.5,6,822.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,24.0,0,Android phone,0,576.0,20
6.0,2797.0,3ab3f5a2918c4f69b49c9a56ca615549,51.0,2120.5,16,3941.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£30-40K,tp1,29.0,0,Android phone,0,841.0,20
6.0,3078.0,2be53de6c84c4023b53a531ff12bb254,63.0,1288.0,17,6107.5,United States,Other,American Hispanic,Female,01_School,Ambidextrous,Worker,£30-40K,tp1,30.0,0,Android phone,0,900.0,20
6.0,3402.5,18700916f9a040c3a57276aea38e508e,49.0,2730.5,12,5197.0,United States,Other,American Hispanic,Female,01_School,Ambidextrous,Worker,£40-50K,tp1,30.0,0,Apple tablet,0,900.0,20
8.0,6260.5,b542b31f-2798-4ecd-ac55-7b5da1dfb683,67.0,1109.0,18,4454.0,United Kingdom,Other,American Hispanic,Female,01_School,Left handed,Worker,£10-20K,tp1,23.0,0,Apple phone,0,529.0,20
5.0,2594.0,ddc4245a2c914629b3792ce9abff0668,66.0,1383.5,7,5281.5,United Kingdom,Other,American Hispanic,Female,01_School,Right handed,Worker,£10-20K,tp1,27.0,0,Android phone,0,729.0,20
8.0,4978.0,3b43a507c5e94c049a967c467ae071ce,54.0,1574.5,6,4739.0,Norway,Other,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,23.0,0,Android phone,0,529.0,20
6.0,2462.0,8e06286c-507f-488c-bef3-798354ac4990,69.0,867.0,-1,1887.5,Australia,Other,American Hispanic,Female,01_School,Right handed,Worker,£60-70K,tp1,30.0,0,Android phone,0,900.0,20
5.0,3532.0,db7e20b5b2c34fde8e2f474ba51a2279,47.0,1713.0,21,3130.0,Brazil,Other,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,24.0,0,Windows Computer,0,576.0,20
6.0,2587.5,6c5cb6dd519f449eb0bb6ed503308c7e,53.0,1594.0,26,3027.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£30-40K,tp1,31.0,0,Android phone,0,961.0,30
7.0,4162.0,692c6903b64d4512a13f7eb49f8cb2e3,56.0,1357.0,-1,6220.5,United States,English,American Hispanic,Female,01_School,Left handed,Worker,£40-50K,tp1,31.0,0,Android phone,0,961.0,30
6.0,2435.0,bb598a9a92174256b2cf7ef9a2cd727d,61.0,1294.0,25,4426.5,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£30-40K,tp1,34.0,0,Apple phone,0,1156.0,30
4.0,3231.5,dae1fa02950e4d15ba4b8794072f2b4a,55.0,1559.0,11,3267.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£0-10K,tp1,36.0,0,Apple phone,0,1296.0,30
6.0,3762.0,921bb35f-d37e-4612-9098-9175708ab87a,51.0,1679.5,23,2727.5,United States,English,American Hispanic,Female,01_School,Left handed,Worker,£60-70K,tp1,37.0,0,Android phone,0,1369.0,30
6.0,4787.0,acfa9b8ece454ea1a92d366076ba82e8,49.0,1827.0,16,4040.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£30-40K,tp1,37.0,0,Apple phone,0,1369.0,30
7.0,4957.0,e1eeedd91bb04bc2b24d4268f1499ef3,59.0,885.0,22,4196.0,United Kingdom,English,American Hispanic,Female,01_School,Left handed,Worker,£30-40K,tp1,35.0,0,Apple phone,0,1225.0,30
5.0,3563.0,4dfb6a7885334629a9e1c3933cfeab9d,57.0,1653.0,22,3493.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£70-80K,tp1,39.0,0,Apple phone,0,1521.0,30
6.0,3333.0,91bd1819-c1f0-4d79-878d-dfac5ee178e6,57.0,2147.0,25,3903.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,36.0,0,Apple phone,0,1296.0,30
6.0,5298.0,4d59156c1a6942498b7e24e27b455490,69.0,1203.0,37,2714.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£30-40K,tp1,35.0,0,Apple phone,0,1225.0,30
6.0,2651.0,05373dddfb764b6f891090e3f49d9905,66.0,1169.0,27,3750.5,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£20-30K,tp1,39.0,0,Android phone,0,1521.0,30
5.0,2785.0,ea866c1d50824200adcdfb7907b54af2,71.0,928.0,16,3750.0,United Kingdom,English,American Hispanic,Female,01_School,Right handed,Worker,£0-10K,tp1,38.0,0,Apple phone,0,1444.0,30
